subbasin,SITE_ID
12044,1
13531,2
10921,5
12826,6
11850,7
11613,11
2875,18
275,19
1056,20
7840,22
3339,23
9640,25
16147,26
1153,28
2951,33
14047,34
6512,36
2680,39
13424,41
11757,47
3274,49
1343,51
10352,52
5253,53
12798,57
12836,58
12933,60
12879,61
13515,64
14345,68
3159,73
6219,75
1020,76
10960,77
13519,83
3562,86
10099,87
10353,90
14130,93
14886,94
14099,95
14506,96
14285,97
14374,98
2715,103
5458,107
3642,109
8840,110
16230,112
16346,113
15413,116
15106,117
14834,118
15055,123
5165,127
1450,130
15316,148
1320,165
11699,170
16195,171
16303,175
5815,178
13856,181
10245,190
8937,192
8129,193
7073,195
15150,198
15093,200
15602,203
15593,204
13655,205
14126,206
852,208
14195,210
1283,214
8609,216
10177,217
10034,218
9938,219
5955,222
9207,227
9694,228
9362,231
11864,232
11090,236
4346,239
15855,240
5260,243
11031,244
15614,245
15507,248
16197,252
13176,253
13632,254
13477,255
5314,257
3126,259
14721,261
5588,267
15730,269
15882,270
535,273
13706,279
16027,280
8637,284
6989,293
5297,295
2565,298
15989,301
4893,305
10613,310
3089,314
3813,317
5554,319
7206,321
10978,324
11109,339
8316,341
8839,343
11059,347
16202,349
2731,350
2093,353
788,355
353,356
7638,365
3793,366
9470,367
2754,370
2841,395
12724,396
3793,401
10152,404
8994,407
7908,408
14757,409
4933,416
15212,418
8336,421
9163,422
2760,425
1418,426
8170,430
10165,434
2373,436
8606,438
5790,445
10183,447
13475,448
9670,450
6525,454
5340,465
3104,469
15370,473
12922,474
11558,486
11572,487
1685,488
9622,493
13721,495
2696,498
3793,504
15689,509
14854,510
6803,526
3310,535
464,553
9751,562
428,571
3260,572
5931,573
11132,581
11437,584
10302,591
6861,595
5215,620
5175,623
5515,638
5489,643
6051,646
4972,647
4358,667
1031,672
1694,673
4654,674
5611,675
4047,684
3848,687
3024,695
5333,737
2978,747
5217,765
650,789
10220,790
5889,822
10307,862
10350,863
9903,869
9890,897
16027,920
14786,927
15456,929
9902,936
9073,937
6833,943
11121,948
5145,953
6319,964
10165,968
6790,971
10960,972
14546,976
14547,977
14409,989
14446,995
10780,1000
15506,1007
10518,1016
15015,1026
15578,1027
8615,1051
9928,1057
16288,1082
15180,1085
16378,1087
16285,1100
11721,1118
12142,1119
12147,1120
11174,1123
11747,1127
11526,1128
11636,1129
12145,1136
12673,1144
13401,1147
13297,1148
12297,1151
12297,1152
12514,1153
12514,1154
13199,1169
13632,1170
13424,1174
14167,1179
14421,1194
14704,1202
14854,1205
13648,1215
14773,1232
8403,1237
14797,1238
14989,1240
14742,1242
15472,1244
15592,1245
14138,1247
14467,1251
10518,1272
11747,1273
16162,1282
16168,1283
16489,1284
12459,1310
9646,1318
10854,1328
11248,1331
5350,1333
4259,1341
11942,1368
11646,1375
11025,1381
11971,1384
12117,1385
11150,1396
11557,1403
12906,1406
13055,1407
13485,1409
13241,1411
14460,1413
14192,1415
14175,1416
14067,1417
13619,1418
13480,1424
15696,1425
15517,1427
14624,1432
14440,1439
16073,1442
16442,1443
16480,1444
2802,1478
13540,1482
13708,1484
14153,1486
9317,1494
14310,1503
12207,1519
12427,1573
12371,1576
15700,1580
14539,1584
15290,1585
13276,1587
13179,1590
13218,1591
11802,1594
13192,1597
11484,74781
13629,74823
13755,74826
14805,74843
14752,75221
15726,75245
16273,75792
14687,75896
15478,75902
10769,77327
3802,77356
3424,77379
7098,77382
14139,89951
13887,90057
8627,92252
12147,96141
14473,96981
14473,96982
13958,98961
1800,115927
11465,135344
13537,135491
13553,135535
15542,142369
11659,144117
878,144394
9433,144847
11819,145577
10086,145629
13421,145630
15470,150923
14893,151011
15013,151012
16156,151332
10825,151950
10422,152682
13906,153344
10286,153768
10031,153775
16187,153937
5168,153943
9885,154010
9617,154011
5874,154014
7835,154019
1725,154082
12186,154939
8539,155342
8290,155343
2837,155747
11300,156865
11734,157220
11734,157221
14681,157414
12398,157424
3345,157469
6660,157846
2973,158030
3892,158422
4483,158430
5156,158431
5588,158432
4092,158483
1878,158553
4091,158554
3028,158667
2799,158686
4235,158687
12283,158753
14799,158760
6928,158875
1015,159224
872,159225
292,159226
692,159227
907,160136
8609,160152
2831,160280
8229,161344
7870,161366
7840,161389
7913,161421
7874,161422
8085,161428
8321,161434
14742,162382
6687,162703
14543,162739
2748,162743
2592,162744
2592,162745
16308,163019
1019,163099
898,163100
5809,163239
6563,163259
10044,163401
9591,163419
3467,163459
2907,163460
9033,163463
7627,163464
9069,163465
8707,163466
6605,163485
10926,163486
765,163683
675,163684
639,163685
1167,163686
2713,163790
4091,163792
3031,163803
4322,163810
4259,163839
5665,163859
6034,163879
3509,163880
5925,163899
2850,163923
1511,163924
765,163944
2738,164199
8898,164359
8811,164360
16202,169803
15666,171924
11863,175545
7105,180965
7010,180966
12190,185405
12119,185406
9146,190091
9093,190092
8527,190511
4235,190621
13584,192471
1278,194434
10760,195071
10760,195072
10742,195073
934,197176
954,197177
5180,197331
5781,197332
12248,201051
12898,201052
9958,201291
12785,201651
9751,201731
4991,201871
10960,201972
504,202038
850,202051
7393,202191
6066,202192
7890,202193
1625,202215
3551,202216
1546,202218
9078,202238
4411,202239
2583,202240
13148,202256
2469,202294
10921,202295
16025,202427
15032,202428
16203,202539
13348,202564
10024,202571
3046,202631
3778,202632
508,202681
3776,202715
1233,202731
2877,202732
6427,202781
13040,202977
14436,203095
5086,203096
7137,205151
9517,205171
7815,205191
8525,205294
14100,205451
7490,205452
11489,205508
4599,205733
12136,205791
3148,205811
9171,205851
5505,206212
4301,206411
16412,207311
5715,208211
4923,208231
7518,212111
7622,213071
8890,213072
12142,213131
13959,213251
5451,213631
10917,213633
12825,213635
15213,213752
15238,213871
15911,213873
2346,213912
6111,213913
969,213998
1309,214016
9429,214017
1853,214060
2207,214111
14277,215037
12985,215071
463,215192
6554,215316
6882,215371
3422,215372
14656,215471
13292,215575
6995,215606
5326,215607
