id_waterbody,water_body
1,GB104027062870
2,GB104027063050
3,GB104027064090
4,GB104027068820
5,GB104027069250
6,GB104027064180
7,GB104027068900
8,GB104027063870
9,GB104027069290
10,GB104027064050
11,GB104027068297
12,GB104027069464
13,GB104027064254
14,GB104027064150
15,GB104027068810
16,GB104027069280
17,GB104027063010
18,GB104027062990
19,GB104027063770
20,GB104027069350
21,GB104027063035
22,GB104027063130
23,GB104027069400
24,GB104027064020
25,GB104027069240
26,GB104027063950
27,GB104027069330
28,GB104027063730
29,GB104027069530
30,GB104027069591
31,GB104027062960
32,GB104027062900
33,GB104027069230
34,GB104027064210
35,GB104027063840
36,GB104027064140
37,GB104027062910
38,GB104027069270
39,GB104027068850
40,GB104027068800
41,GB104027062880
42,GB104027064257
43,GB104027063060
44,GB104027064253
45,GB104027063120
46,GB104027062980
47,GB104027068930
48,GB104027063020
49,GB104027069320
50,GB104027064010
51,GB104027069461
52,GB104027069190
53,GB104027062930
54,GB104027064130
55,GB104027064100
56,GB104027064040
57,GB104027063090
58,GB104027063860
59,GB104027064030
60,GB104027064190
61,GB104027062950
62,GB104027063080
63,GB104027063033
64,GB104027063810
65,GB104027069340
67,GB104027068296
68,GB104027068790
69,GB104027063920
70,GB104027064110
71,GB104027069200
72,GB104027063741
73,GB104027064161
74,GB104027069310
75,GB104027064070
76,GB104027063880
77,GB104027063800
78,GB104027069390
79,GB104027063110
80,GB104027069220
81,GB104027063070
82,GB104027068780
84,GB104027069210
85,GB104027063960
86,GB104027069592
87,GB104027062891
88,GB104027069260
89,GB104027064060
90,GB104027064255
91,GB104027068295
92,GB104027063990
93,GB104027063970
94,GB104027063890
95,GB104027063700
96,GB104027068292
97,GB104027068294
98,GB104027064258
99,GB104027068298
100,GB104027068380
101,GB104027064120
102,GB104027063100
103,GB104027063760
104,GB104027064080
105,GB104027064162
106,GB104027068830
107,GB104027062920
108,GB104027069360
109,GB104027062970
110,GB104027063034
111,GB104027064230
112,GB104027069300
113,GB104027068841
114,GB104027062940
115,GB104027068300
116,GB104027063850
117,GB104027068270
118,GB104027063742
119,GB104027063580
120,GB104027069090
121,GB104027067760
122,GB104027063520
123,GB104027069000
125,GB104027068260
126,GB104027069540
