EASTING,NORTHING,site_id,n_days,median_of_p90_ug,p95_of_p90_ug,median_of_median_ug,p95_of_median_ug,generic_hc5,generic_hc5_divided by 10,acute_risk_threshold_p90,chronic_risk_threshold_p90,acute_risk_threshold_average,chronic_risk_threshold_average,site_specific hc5,site_specific hc5/10,ss_acute_risk_threshold_p90,ss_chronic_risk_threshold_p90,ss_acute_risk_threshold_average,ss_chronic_risk_threshold_average
427759,434109,1,1826,0.001469032,0.02206751,0.001274605,0.01760915,0.0189,0.00189,yes,no,no,no,na,na,na,na,na,na
433800,420100,2,1826,0.001687895,0.028338145,0.001395835,0.022666675,0.0189,0.00189,yes,no,yes,no,na,na,na,na,na,na
399522,446764,5,1826,0.000682947,0.0118414,0.000586179,0.009172308,0.0189,0.00189,no,no,no,no,na,na,na,na,na,na
441798,427319,6,1826,0.002456066,0.035866655,0.00213839,0.0292487,0.0189,0.00189,yes,yes,yes,yes,0.392460431,0.039246043,no,no,no,no
422219,436943,7,1826,0.001474528,0.02295559,0.001266065,0.018401275,0.0189,0.00189,yes,no,no,no,0.024363773,0.002436377,no,no,no,no
417756,439961,11,1826,0.000905044,0.01394963,0.000769894,0.011150125,0.0189,0.00189,no,no,no,no,na,na,na,na,na,na
404212,490915,18,1826,0.000467214,0.011542755,0.000376401,0.009116923,0.0189,0.00189,no,no,no,no,0.020427929,0.002042793,no,no,no,no
398227,504509,19,1826,8.53345E-06,0.000111942,4.64866E-06,4.92083E-05,0.0189,0.00189,no,no,no,no,0.019578861,0.001957886,no,no,no,no
404153,499167,20,1826,9.93861E-05,0.001745304,6.32693E-05,0.001234798,0.0189,0.00189,no,no,no,no,0.055390789,0.005539079,no,no,no,no
414776,466439,22,1826,0.000016278,0.00017341,1.04855E-05,0.00011414,0.0189,0.00189,no,no,no,no,0.025534993,0.002553499,no,no,no,no
392218,487759,23,1826,2.64116E-05,0.000357201,1.73524E-05,0.000237978,0.0189,0.00189,no,no,no,no,0.009311914,0.000931191,no,no,no,no
404732,456247,25,1826,1.91367E-05,6.57802E-05,1.15355E-05,4.79059E-05,0.0189,0.00189,no,no,no,no,0.010387587,0.001038759,no,no,no,no
435909,375484,26,1826,0.001194906,0.01278824,0.000906425,0.010538525,0.0189,0.00189,no,no,no,no,0.017328176,0.001732818,no,no,no,no
401477,498697,28,1826,5.29729E-05,0.001223722,3.17911E-05,0.000698557,0.0189,0.00189,no,no,no,no,0.050303609,0.005030361,no,no,no,no
430654,490229,33,1826,0.002326329,0.02487121,0.00164095,0.020122,0.0189,0.00189,yes,yes,yes,no,0.016366304,0.00163663,yes,yes,yes,yes
427010,413243,34,1826,0.00012106,0.00088525,6.55841E-05,0.00054475,0.0189,0.00189,no,no,no,no,0.007558023,0.000755802,no,no,no,no
443150,473852,36,1826,0.00131209,0.020032655,0.000888473,0.01395845,0.0189,0.00189,yes,no,no,no,na,na,na,na,na,na
493368,491519,39,1826,0.000062283,0.000366818,3.61311E-05,0.000244569,0.0189,0.00189,no,no,no,no,0.01860982,0.001860982,no,no,no,no
