date,subbasin,runoff
2004-01-01,6905,0.005
2004-01-02,6905,0.006
2004-01-03,6905,0.006
2004-01-04,6905,0.019
2004-01-05,6905,0.065
2004-01-06,6905,0.038
2004-01-07,6905,0.057
2004-01-08,6905,0.126
2004-01-09,6905,0.073
2004-01-10,6905,0.105
2004-01-11,6905,0.086
2004-01-12,6905,0.098
2004-01-13,6905,0.076
2004-01-14,6905,0.037
2004-01-15,6905,0.141
2004-01-16,6905,0.055
2004-01-17,6905,0.027
2004-01-18,6905,0.051
2004-01-19,6905,0.061
2004-01-20,6905,0.05
2004-01-21,6905,0.033
2004-01-22,6905,0.041
2004-01-23,6905,0.045
2004-01-24,6905,0.025
2004-01-25,6905,0.015
2004-01-26,6905,0.008
2004-01-27,6905,0.005
2004-01-28,6905,0.004
2004-01-29,6905,0.003
2004-01-30,6905,0.126
2004-01-31,6905,0.212
2004-02-01,6905,0.125
2004-02-02,6905,0.169
2004-02-03,6905,0.138
2004-02-04,6905,0.206
2004-02-05,6905,0.093
2004-02-06,6905,0.074
2004-02-07,6905,0.075
2004-02-08,6905,0.037
2004-02-09,6905,0.019
2004-02-10,6905,0.019
2004-02-11,6905,0.022
2004-02-12,6905,0.012
2004-02-13,6905,0.007
2004-02-14,6905,0.005
2004-02-15,6905,0.004
2004-02-16,6905,0.011
2004-02-17,6905,0.007
2004-02-18,6905,0.005
2004-02-19,6905,0.004
2004-02-20,6905,0.003
2004-02-21,6905,0.003
2004-02-22,6905,0.003
2004-02-23,6905,0.003
2004-02-24,6905,0.003
2004-02-25,6905,0.003
2004-02-26,6905,0.003
2004-02-27,6905,0.003
2004-02-28,6905,0.003
2004-02-29,6905,0.003
2004-03-01,6905,0.003
2004-03-02,6905,0.003
2004-03-03,6905,0.021
2004-03-04,6905,0.017
2004-03-05,6905,0.038
2004-03-06,6905,0.025
2004-03-07,6905,0.015
2004-03-08,6905,0.011
2004-03-09,6905,0.007
2004-03-10,6905,0.005
2004-03-11,6905,0.004
2004-03-12,6905,0.003
2004-03-13,6905,0.014
2004-03-14,6905,0.037
2004-03-15,6905,0.035
2004-03-16,6905,0.02
2004-03-17,6905,0.011
2004-03-18,6905,0.07
2004-03-19,6905,0.064
2004-03-20,6905,0.074
2004-03-21,6905,0.051
2004-03-22,6905,0.031
2004-03-23,6905,0.019
2004-03-24,6905,0.016
2004-03-25,6905,0.01
2004-03-26,6905,0.007
2004-03-27,6905,0.005
2004-03-28,6905,0.004
2004-03-29,6905,0.003
2004-03-30,6905,0.003
2004-03-31,6905,0.003
2004-04-01,6905,0.023
2004-04-02,6905,0.037
2004-04-03,6905,0.067
2004-04-04,6905,0.053
2004-04-05,6905,0.054
2004-04-06,6905,0.035
2004-04-07,6905,0.018
2004-04-08,6905,0.01
2004-04-09,6905,0.007
2004-04-10,6905,0.005
2004-04-11,6905,0.004
2004-04-12,6905,0.003
2004-04-13,6905,0.003
2004-04-14,6905,0.003
2004-04-15,6905,0.018
2004-04-16,6905,0.027
2004-04-17,6905,0.1
2004-04-18,6905,0.081
2004-04-19,6905,0.045
2004-04-20,6905,0.043
2004-04-21,6905,0.067
2004-04-22,6905,0.033
2004-04-23,6905,0.017
2004-04-24,6905,0.009
2004-04-25,6905,0.006
2004-04-26,6905,0.004
2004-04-27,6905,0.003
2004-04-28,6905,0.003
2004-04-29,6905,0.003
2004-04-30,6905,0.003
2004-05-01,6905,0.003
2004-01-01,6777,0.003
2004-01-02,6777,0.003
2004-01-03,6777,0.003
2004-01-04,6777,0.008
2004-01-05,6777,0.045
2004-01-06,6777,0.029
2004-01-07,6777,0.047
2004-01-08,6777,0.128
2004-01-09,6777,0.062
2004-01-10,6777,0.083
2004-01-11,6777,0.072
2004-01-12,6777,0.083
2004-01-13,6777,0.056
2004-01-14,6777,0.029
2004-01-15,6777,0.071
2004-01-16,6777,0.035
2004-01-17,6777,0.019
2004-01-18,6777,0.024
2004-01-19,6777,0.03
2004-01-20,6777,0.032
2004-01-21,6777,0.021
2004-01-22,6777,0.023
2004-01-23,6777,0.026
2004-01-24,6777,0.015
2004-01-25,6777,0.009
2004-01-26,6777,0.006
2004-01-27,6777,0.004
2004-01-28,6777,0.003
2004-01-29,6777,0.003
2004-01-30,6777,0.1
2004-01-31,6777,0.172
2004-02-01,6777,0.098
2004-02-02,6777,0.123
2004-02-03,6777,0.112
2004-02-04,6777,0.164
2004-02-05,6777,0.075
2004-02-06,6777,0.049
2004-02-07,6777,0.056
2004-02-08,6777,0.029
2004-02-09,6777,0.016
2004-02-10,6777,0.014
2004-02-11,6777,0.015
2004-02-12,6777,0.013
2004-02-13,6777,0.014
2004-02-14,6777,0.011
2004-02-15,6777,0.007
2004-02-16,6777,0.018
2004-02-17,6777,0.012
2004-02-18,6777,0.009
2004-02-19,6777,0.006
2004-02-20,6777,0.004
2004-02-21,6777,0.003
2004-02-22,6777,0.003
2004-02-23,6777,0.002
2004-02-24,6777,0.003
2004-02-25,6777,0.002
2004-02-26,6777,0.002
2004-02-27,6777,0.002
2004-02-28,6777,0.002
2004-02-29,6777,0.002
2004-03-01,6777,0.002
2004-03-02,6777,0.002
2004-03-03,6777,0.004
2004-03-04,6777,0.008
2004-03-05,6777,0.013
2004-03-06,6777,0.014
2004-03-07,6777,0.009
2004-03-08,6777,0.008
2004-03-09,6777,0.005
2004-03-10,6777,0.004
2004-03-11,6777,0.003
2004-03-12,6777,0.002
2004-03-13,6777,0.011
2004-03-14,6777,0.034
2004-03-15,6777,0.032
2004-03-16,6777,0.026
2004-03-17,6777,0.014
2004-03-18,6777,0.066
2004-03-19,6777,0.054
2004-03-20,6777,0.072
2004-03-21,6777,0.047
