"subbasin","opcat_id","opcat_name"
1,3317,"Middle Swale"
2,3317,"Middle Swale"
3,3317,"Middle Swale"
4,3317,"Middle Swale"
5,3317,"Middle Swale"
6,3317,"Middle Swale"
7,3317,"Middle Swale"
8,3317,"Middle Swale"
9,3317,"Middle Swale"
10,3317,"Middle Swale"
11,3503,"Upper Swale"
12,3317,"Middle Swale"
13,3317,"Middle Swale"
14,3317,"Middle Swale"
15,3317,"Middle Swale"
16,3317,"Middle Swale"
17,3503,"Upper Swale"
18,3317,"Middle Swale"
19,3317,"Middle Swale"
20,3317,"Middle Swale"
21,3317,"Middle Swale"
22,3317,"Middle Swale"
23,3503,"Upper Swale"
24,3317,"Middle Swale"
25,3503,"Upper Swale"
26,3317,"Middle Swale"
27,3317,"Middle Swale"
28,3503,"Upper Swale"
29,3317,"Middle Swale"
30,3317,"Middle Swale"
31,3317,"Middle Swale"
32,3503,"Upper Swale"
33,3317,"Middle Swale"
34,3503,"Upper Swale"
35,3317,"Middle Swale"
36,3317,"Middle Swale"
37,3317,"Middle Swale"
38,3317,"Middle Swale"
39,3317,"Middle Swale"
40,3317,"Middle Swale"
41,3317,"Middle Swale"
42,3317,"Middle Swale"
43,3503,"Upper Swale"
44,3317,"Middle Swale"
45,3317,"Middle Swale"
46,3503,"Upper Swale"
47,3317,"Middle Swale"
48,3503,"Upper Swale"
49,3317,"Middle Swale"
50,3317,"Middle Swale"
51,3317,"Middle Swale"
52,3317,"Middle Swale"
53,3317,"Middle Swale"
54,3317,"Middle Swale"
55,3317,"Middle Swale"
56,3317,"Middle Swale"
57,3317,"Middle Swale"
58,3317,"Middle Swale"
59,3503,"Upper Swale"
60,3317,"Middle Swale"
61,3503,"Upper Swale"
62,3317,"Middle Swale"
63,3503,"Upper Swale"
64,3503,"Upper Swale"
65,3503,"Upper Swale"
66,3503,"Upper Swale"
67,3317,"Middle Swale"
68,3317,"Middle Swale"
69,3317,"Middle Swale"
70,3317,"Middle Swale"
71,3503,"Upper Swale"
72,3503,"Upper Swale"
73,3503,"Upper Swale"
74,3317,"Middle Swale"
75,3503,"Upper Swale"
76,3317,"Middle Swale"
77,3503,"Upper Swale"
78,3317,"Middle Swale"
79,3317,"Middle Swale"
80,3503,"Upper Swale"
81,3503,"Upper Swale"
82,3503,"Upper Swale"
83,3503,"Upper Swale"
84,3317,"Middle Swale"
85,3317,"Middle Swale"
86,3317,"Middle Swale"
87,3317,"Middle Swale"
88,3317,"Middle Swale"
89,3317,"Middle Swale"
90,3503,"Upper Swale"
91,3503,"Upper Swale"
92,3317,"Middle Swale"
93,3503,"Upper Swale"
94,3317,"Middle Swale"
95,3317,"Middle Swale"
96,3317,"Middle Swale"
97,3503,"Upper Swale"
98,3317,"Middle Swale"
99,3503,"Upper Swale"
100,3317,"Middle Swale"
101,3503,"Upper Swale"
102,3503,"Upper Swale"
103,3317,"Middle Swale"
104,3317,"Middle Swale"
105,3317,"Middle Swale"
106,3503,"Upper Swale"
107,3317,"Middle Swale"
108,3503,"Upper Swale"
109,3503,"Upper Swale"
110,3503,"Upper Swale"
111,3503,"Upper Swale"
112,3503,"Upper Swale"
113,3317,"Middle Swale"
114,3503,"Upper Swale"
115,3503,"Upper Swale"
116,3317,"Middle Swale"
117,3317,"Middle Swale"
118,3317,"Middle Swale"
119,3503,"Upper Swale"
120,3503,"Upper Swale"
121,3317,"Middle Swale"
122,3503,"Upper Swale"
123,3503,"Upper Swale"
124,3503,"Upper Swale"
125,3503,"Upper Swale"
126,3503,"Upper Swale"
127,3503,"Upper Swale"
128,3317,"Middle Swale"
129,3503,"Upper Swale"
130,3503,"Upper Swale"
131,3503,"Upper Swale"
132,3503,"Upper Swale"
133,3503,"Upper Swale"
134,3503,"Upper Swale"
135,3503,"Upper Swale"
136,3317,"Middle Swale"
137,3317,"Middle Swale"
138,3503,"Upper Swale"
139,3317,"Middle Swale"
140,3503,"Upper Swale"
141,3503,"Upper Swale"
142,3503,"Upper Swale"
143,3503,"Upper Swale"
144,3317,"Middle Swale"
145,3317,"Middle Swale"
146,3503,"Upper Swale"
147,3503,"Upper Swale"
148,3503,"Upper Swale"
149,3317,"Middle Swale"
150,3503,"Upper Swale"
151,3503,"Upper Swale"
152,3317,"Middle Swale"
153,3503,"Upper Swale"
154,3503,"Upper Swale"
155,3503,"Upper Swale"
156,3317,"Middle Swale"
157,3503,"Upper Swale"
158,3503,"Upper Swale"
159,3503,"Upper Swale"
160,3317,"Middle Swale"
161,3317,"Middle Swale"
162,3503,"Upper Swale"
163,3503,"Upper Swale"
164,3503,"Upper Swale"
165,3317,"Middle Swale"
166,3503,"Upper Swale"
167,3317,"Middle Swale"
168,3503,"Upper Swale"
169,3503,"Upper Swale"
170,3317,"Middle Swale"
171,3503,"Upper Swale"
172,3503,"Upper Swale"
173,3317,"Middle Swale"
174,3503,"Upper Swale"
175,3503,"Upper Swale"
176,3503,"Upper Swale"
177,3503,"Upper Swale"
178,3503,"Upper Swale"
179,3317,"Middle Swale"
180,3317,"Middle Swale"
181,3503,"Upper Swale"
182,3317,"Middle Swale"
183,3503,"Upper Swale"
184,3503,"Upper Swale"
185,3317,"Middle Swale"
186,3317,"Middle Swale"
187,3317,"Middle Swale"
188,3317,"Middle Swale"
189,3503,"Upper Swale"
190,3317,"Middle Swale"
191,3503,"Upper Swale"
192,3541,"Wiske"
193,3503,"Upper Swale"
194,3317,"Middle Swale"
195,3503,"Upper Swale"
196,3503,"Upper Swale"
197,3541,"Wiske"
198,3317,"Middle Swale"
199,3317,"Middle Swale"
200,3503,"Upper Swale"
201,3503,"Upper Swale"
202,3317,"Middle Swale"
203,3503,"Upper Swale"
204,3503,"Upper Swale"
205,3541,"Wiske"
206,3503,"Upper Swale"
207,3503,"Upper Swale"
208,3503,"Upper Swale"
209,3317,"Middle Swale"
210,3317,"Middle Swale"
211,3317,"Middle Swale"
212,3503,"Upper Swale"
213,3503,"Upper Swale"
214,3503,"Upper Swale"
215,3503,"Upper Swale"
216,3317,"Middle Swale"
217,3503,"Upper Swale"
218,3503,"Upper Swale"
219,3541,"Wiske"
220,3503,"Upper Swale"
221,3503,"Upper Swale"
222,3503,"Upper Swale"
223,3317,"Middle Swale"
224,3317,"Middle Swale"
225,3317,"Middle Swale"
226,3503,"Upper Swale"
227,3503,"Upper Swale"
228,3503,"Upper Swale"
229,3317,"Middle Swale"
230,3503,"Upper Swale"
231,3317,"Middle Swale"
232,3503,"Upper Swale"
233,3503,"Upper Swale"
234,3317,"Middle Swale"
235,3503,"Upper Swale"
236,3541,"Wiske"
237,3503,"Upper Swale"
238,3317,"Middle Swale"
239,3317,"Middle Swale"
240,3503,"Upper Swale"
241,3317,"Middle Swale"
242,3503,"Upper Swale"
243,3503,"Upper Swale"
244,3317,"Middle Swale"
245,3503,"Upper Swale"
246,3503,"Upper Swale"
247,3541,"Wiske"
248,3503,"Upper Swale"
249,3317,"Middle Swale"
250,3541,"Wiske"
251,3503,"Upper Swale"
252,3317,"Middle Swale"
253,3541,"Wiske"
254,3503,"Upper Swale"
255,3503,"Upper Swale"
256,3317,"Middle Swale"
257,3317,"Middle Swale"
258,3503,"Upper Swale"
259,3317,"Middle Swale"
260,3317,"Middle Swale"
261,3503,"Upper Swale"
262,3317,"Middle Swale"
263,3503,"Upper Swale"
264,3503,"Upper Swale"
265,3503,"Upper Swale"
266,3317,"Middle Swale"
267,3541,"Wiske"
268,3166,"Eden Upper"
269,3503,"Upper Swale"
270,3317,"Middle Swale"
271,3317,"Middle Swale"
272,3503,"Upper Swale"
273,3541,"Wiske"
274,3317,"Middle Swale"
275,3503,"Upper Swale"
276,3503,"Upper Swale"
277,3541,"Wiske"
278,3541,"Wiske"
279,3503,"Upper Swale"
280,3317,"Middle Swale"
281,3317,"Middle Swale"
282,3503,"Upper Swale"
283,3317,"Middle Swale"
284,3503,"Upper Swale"
285,3503,"Upper Swale"
286,3503,"Upper Swale"
287,3541,"Wiske"
288,3541,"Wiske"
289,3503,"Upper Swale"
290,3317,"Middle Swale"
291,3317,"Middle Swale"
292,3503,"Upper Swale"
293,3541,"Wiske"
294,3503,"Upper Swale"
295,3503,"Upper Swale"
296,3503,"Upper Swale"
297,3503,"Upper Swale"
298,3317,"Middle Swale"
299,3541,"Wiske"
300,3541,"Wiske"
301,3317,"Middle Swale"
302,3541,"Wiske"
303,3541,"Wiske"
304,3503,"Upper Swale"
305,3503,"Upper Swale"
306,3503,"Upper Swale"
307,3503,"Upper Swale"
308,3317,"Middle Swale"
309,3541,"Wiske"
310,3541,"Wiske"
