"water_body","opcat_name"
"GB104027062870","Middle Aire"
"GB104027063050","Upper Aire"
"GB104027064090","Upper Wharfe"
"GB104027068820","Lower Swale"
"GB104027069250","Upper Wharfe"
"GB104027064180","Upper Wharfe"
"GB104027068900","Lower Swale"
"GB104027063870","Upper Ouse Yorkshire"
"GB104027069290","Upper Wharfe"
"GB104027064050","Middle Wharfe and Washburn"
"GB104027068297","Middle and Lower Nidd"
"GB104027069464","Upper Ure"
"GB104027064254","Middle Wharfe and Washburn"
"GB104027064150","Upper Wharfe"
"GB104027068810","Lower Swale"
"GB104027069280","Upper Wharfe"
"GB104027063010","Upper Aire"
"GB104027062990","Upper Aire"
"GB104027063770","Middle and Lower Nidd"
"GB104027069350","Upper Ure"
"GB104027063035","Lower Aire"
"GB104027063130","Upper Aire"
"GB104027069400","Upper Ure"
"GB104027064020","Middle Wharfe and Washburn"
"GB104027069240","Upper Wharfe"
"GB104027063950","Lower Wharfe"
"GB104027069330","Upper Ure"
"GB104027063730","Upper Ouse Yorkshire"
"GB104027069530","Wiske"
"GB104027069591","Lower Swale"
"GB104027062960","Upper Aire"
"GB104027062900","Lower Aire"
"GB104027069230","Upper Wharfe"
"GB104027064210","Middle Aire"
"GB104027063840","Upper Ouse Yorkshire"
"GB104027064140","Middle and Lower Ure"
"GB104027062910","Lower Aire"
"GB104027069270","Middle and Lower Ure"
"GB104027068850","Middle Swale"
"GB104027068800","Middle Swale"
"GB104027062880","Lower Aire"
"GB104027064257","Middle Wharfe and Washburn"
"GB104027063060","Upper Aire"
"GB104027064253","Upper Wharfe"
"GB104027063120","Upper Aire"
"GB104027062980","Upper Aire"
"GB104027068930","Middle Swale"
"GB104027063020","Upper Aire"
"GB104027069320","Upper Wharfe"
"GB104027064010","Middle Wharfe and Washburn"
"GB104027069461","Middle and Lower Ure"
"GB104027069190","Middle and Lower Ure"
"GB104027062930","Upper Aire"
"GB104027064130","Middle and Lower Ure"
"GB104027064100","Middle and Lower Ure"
"GB104027064040","Middle Wharfe and Washburn"
"GB104027063090","Upper Aire"
"GB104027063860","Upper Ouse Yorkshire"
"GB104027064030","Middle Wharfe and Washburn"
"GB104027064190","Upper Wharfe"
"GB104027062950","Middle Aire"
"GB104027063080","Upper Aire"
"GB104027063033","Upper Aire"
"GB104027063810","Upper Nidd"
"GB104027069340","Upper Ure"
"GB112071065640","Limestone Ribble"
"GB104027068296","Middle and Lower Nidd"
"GB104027068790","Lower Swale"
"GB104027063920","Upper Ouse Yorkshire"
"GB104027064110","Middle and Lower Ure"
"GB104027069200","Middle and Lower Ure"
"GB104027063741","Middle and Lower Nidd"
"GB104027064161","Middle and Lower Ure"
"GB104027069310","Middle and Lower Ure"
"GB104027064070","Middle Wharfe and Washburn"
"GB104027063880","Upper Nidd"
"GB104027063800","Middle and Lower Ure"
"GB104027069390","Upper Ure"
"GB104027063110","Upper Aire"
"GB104027069220","Upper Wharfe"
"GB104027063070","Upper Aire"
"GB104027068780","Lower Swale"
"GB112071065160","Colne Water"
"GB104027069210","Middle and Lower Ure"
"GB104027063960","Middle Wharfe and Washburn"
"GB104027069592","Middle and Lower Ure"
"GB104027062891","Middle Aire"
"GB104027069260","Middle and Lower Ure"
"GB104027064060","Middle Wharfe and Washburn"
"GB104027064255","Lower Wharfe"
"GB104027068295","Upper Nidd"
"GB104027063990","Middle Wharfe and Washburn"
"GB104027063970","Middle Wharfe and Washburn"
"GB104027063890","Upper Nidd"
"GB104027063700","Middle and Lower Nidd"
"GB104027068292","Middle and Lower Nidd"
"GB104027068294","Upper Nidd"
"GB104027064258","Middle Wharfe and Washburn"
"GB104027068298","Middle and Lower Nidd"
"GB104027068380","Upper Nidd"
"GB104027064120","Upper Wharfe"
"GB104027063100","Upper Aire"
"GB104027063760","Middle and Lower Nidd"
"GB104027064080","Middle Wharfe and Washburn"
"GB104027064162","Middle and Lower Ure"
"GB104027068830","Wiske"
"GB104027062920","Lower Aire"
"GB104027069360","Upper Ure"
"GB104027062970","Upper Aire"
